# Author: Lukas Bower
# Purpose: Inventory tracked Markdown Mermaid diagrams for Milestone 26c.
# Copyright 2026 Lukas Bower
path,block_index,line_start,line_end,heading,diagram_type,disposition,owner,evidence_source,github_status,update_rule
releases/Cohesix-0.8.0-alpha-linux/docs/ARCHITECTURE.md,4,242,248,Live Hive telemetry path (Milestone 24b),flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/GPU_NODES.md,1,49,58,Live publish sequence,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/GPU_NODES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,1,647,657,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,2,660,668,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,3,671,686,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/INTERFACES.md,1,41,171,0. Stability & Versioning,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/INTERFACES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/NETWORK_CONFIG.md,1,105,146,Reference Topology,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/NETWORK_CONFIG.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,1,279,331,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,2,335,383,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,3,387,407,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,4,411,447,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,5,451,479,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.8.0-alpha-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/README.md,1,115,189,Architecture (high level),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/README.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,1,137,185,Boundary and components,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,2,188,213,TCP console attach + tail,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,3,218,237,Live GPU publish + PEFT refresh (Milestone 24b),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,4,242,248,Live Hive telemetry path (Milestone 24b),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/GPU_NODES.md,1,49,58,Live publish sequence,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/GPU_NODES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,1,756,766,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,2,769,777,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,3,780,797,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/INTERFACES.md,1,41,171,0. Stability & Versioning,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/INTERFACES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/NETWORK_CONFIG.md,1,105,146,Reference Topology,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/NETWORK_CONFIG.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,1,279,331,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,2,335,383,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,3,387,407,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,4,411,447,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,5,451,479,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-MacOS/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/README.md,1,115,189,Architecture (high level),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/README.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,1,137,185,Boundary and components,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,2,188,213,TCP console attach + tail,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,3,218,237,Live GPU publish + PEFT refresh (Milestone 24b),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,4,242,248,Live Hive telemetry path (Milestone 24b),flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/ARCHITECTURE.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/GPU_NODES.md,1,49,58,Live publish sequence,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/GPU_NODES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,1,756,766,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,2,769,777,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,3,780,797,Policy & Dependency Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/HOST_TOOLS.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/INTERFACES.md,1,41,171,0. Stability & Versioning,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/INTERFACES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/NETWORK_CONFIG.md,1,105,146,Reference Topology,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/NETWORK_CONFIG.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,1,279,331,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,2,335,383,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,3,387,407,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,4,411,447,Diagrams,sequenceDiagram,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,5,451,479,Diagrams,flowchart,release snapshot,release-owner,releases/Cohesix-0.9.0-beta-linux/docs/USE_CASES.md,pending-check,update only through release-cut flow
